State(1000, [3.0, -2.0, 8.0], Array{Float64}[[0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.0, 0.5, 0.5]], [0.0, 0.01, 50.0])
975,C,C2,i2,3.0
976,C,C2,i3,3.0
977,C,C1,i3,5.5
978,C,C1,i3,5.5
979,C,C1,i1,5.5
980,C,C2,i3,3.0
981,C,C2,i3,3.0
982,C,C1,i3,5.5
983,C,C2,i3,3.0
984,C,C3,i3,3.0
985,C,C2,i2,3.0
986,C,C3,i2,3.0
987,C,C1,i1,5.5
988,C,C2,i3,3.0
989,C,C1,i1,5.5
990,C,C1,i3,5.5
991,C,C1,i1,5.5
992,C,C3,i3,3.0
993,C,C1,i1,5.5
994,C,C2,i2,3.0
995,C,C2,i3,3.0
996,C,C1,i3,5.5
997,C,C1,i3,5.5
998,C,C3,i2,3.0
999,C,C3,i3,3.0
1000,C,C3,i-1,3.0
