State(1000, [3.0, -2.0, 3.0], Array{Float64}[[0.5, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.5, 0.5]], [0.0, 0.01, 50.0])
221,C,C3,i2,0.5
222,C,C2,i1,0.5
223,C,C3,i3,0.5
224,C,C3,i3,0.5
225,C,C1,i1,3.0
226,C,C1,i3,3.0
227,C,C3,i2,0.5
228,C,C1,i3,3.0
229,C,C3,i3,0.5
230,C,C3,i2,0.5
231,C,C3,i2,0.5
232,C,C3,i2,0.5
233,C,C3,i2,0.5
234,C,C1,i3,3.0
235,C,C1,i3,3.0
236,C,C1,i1,3.0
237,C,C1,i1,3.0
238,C,C3,i3,0.5
239,C,C1,i1,3.0
240,C,C3,i2,0.5
241,C,C1,i1,3.0
242,C,C3,i2,0.5
243,C,C1,i1,3.0
244,C,C1,i3,3.0
245,C,C1,i3,3.0
246,C,C3,i2,0.5
247,C,C3,i3,0.5
248,C,C3,i2,0.5
249,C,C1,i1,3.0
250,C,C1,i3,3.0
251,C,C1,i3,3.0
252,C,C1,i1,3.0
253,C,C1,i3,3.0
254,C,C1,i3,3.0
255,C,C3,i3,0.5
256,C,C1,i1,3.0
257,C,C3,i3,0.5
258,C,C3,i2,0.5
259,C,C1,i1,3.0
260,C,C1,i1,3.0
261,C,C1,i3,3.0
262,C,C1,i3,3.0
263,C,C3,i2,0.5
264,C,C1,i3,3.0
265,C,C3,i2,0.5
266,C,C3,i3,0.5
267,C,C3,i2,0.5
268,C,C1,i3,3.0
269,C,C3,i2,0.5
270,C,C1,i3,3.0
271,C,C1,i3,3.0
272,C,C1,i1,3.0
273,C,C3,i2,0.5
274,C,C1,i1,3.0
275,C,C1,i3,3.0
276,C,C3,i2,0.5
277,C,C3,i2,0.5
278,C,C1,i1,3.0
279,C,C3,i2,0.5
280,C,C1,i1,3.0
281,C,C1,i1,3.0
282,C,C1,i1,3.0
283,C,C3,i3,0.5
284,C,C1,i1,3.0
285,C,C1,i3,3.0
286,C,C3,i2,0.5
287,C,C1,i1,3.0
288,C,C1,i3,3.0
289,C,C3,i3,0.5
290,C,C3,i3,0.5
291,C,C1,i3,3.0
292,C,C3,i3,0.5
293,C,C3,i3,0.5
294,C,C3,i2,0.5
295,C,C1,i3,3.0
296,C,C1,i3,3.0
297,C,C1,i3,3.0
298,C,C3,i2,0.5
299,C,C3,i3,0.5
300,C,C1,i3,3.0
301,C,C3,i3,0.5
302,C,C1,i1,3.0
303,C,C1,i1,3.0
304,C,C1,i3,3.0
305,C,C1,i1,3.0
306,C,C3,i3,0.5
307,C,C3,i3,0.5
308,C,C1,i3,3.0
309,C,C3,i3,0.5
310,C,C3,i3,0.5
311,C,C3,i2,0.5
312,C,C3,i3,0.5
313,C,C1,i1,3.0
314,C,C1,i3,3.0
315,C,C1,i1,3.0
316,C,C3,i3,0.5
317,C,C3,i3,0.5
318,C,C3,i3,0.5
319,C,C3,i3,0.5
320,C,C1,i3,3.0
321,C,C1,i3,3.0
322,C,C3,i2,0.5
323,C,C1,i1,3.0
324,C,C3,i2,0.5
325,C,C3,i2,0.5
326,C,C1,i1,3.0
327,C,C3,i3,0.5
328,C,C3,i2,0.5
329,C,C1,i3,3.0
330,C,C1,i3,3.0
331,C,C1,i3,3.0
332,C,C1,i1,3.0
333,C,C3,i2,0.5
334,C,C1,i1,3.0
335,C,C3,i2,0.5
336,C,C3,i2,0.5
337,C,C3,i3,0.5
338,C,C3,i3,0.5
339,C,C1,i3,3.0
340,C,C3,i2,0.5
341,C,C3,i3,0.5
342,C,C1,i3,3.0
343,C,C1,i3,3.0
344,C,C3,i2,0.5
345,C,C3,i3,0.5
346,C,C1,i3,3.0
347,C,C1,i3,3.0
348,C,C3,i3,0.5
349,C,C3,i2,0.5
350,C,C2,i1,0.5
351,C,C3,i2,0.5
352,C,C1,i1,3.0
353,C,C3,i3,0.5
354,C,C3,i3,0.5
355,C,C1,i3,3.0
356,C,C1,i3,3.0
357,C,C3,i3,0.5
358,C,C1,i1,3.0
359,C,C1,i1,3.0
360,C,C3,i3,0.5
361,C,C1,i3,3.0
362,C,C1,i1,3.0
363,C,C1,i1,3.0
364,C,C1,i3,3.0
365,C,C3,i2,0.5
366,C,C3,i2,0.5
367,C,C1,i1,3.0
368,C,C3,i3,0.5
369,C,C3,i2,0.5
370,C,C3,i2,0.5
371,C,C1,i1,3.0
372,C,C3,i3,0.5
373,C,C3,i2,0.5
374,C,C3,i3,0.5
375,C,C3,i3,0.5
376,C,C1,i1,3.0
377,C,C1,i1,3.0
378,C,C1,i1,3.0
379,C,C3,i2,0.5
380,C,C3,i2,0.5
381,C,C1,i1,3.0
382,C,C3,i3,0.5
383,C,C1,i1,3.0
384,C,C3,i2,0.5
385,C,C3,i2,0.5
386,C,C1,i1,3.0
387,C,C2,i2,0.5
388,C,C3,i2,0.5
389,C,C1,i3,3.0
390,C,C3,i2,0.5
391,C,C1,i1,3.0
392,C,C1,i1,3.0
393,C,C1,i1,3.0
