State(1000, [8.0, 3.0, -2.0], Array{Float64}[[0.5, 0.5, 0.0], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5]], [0.0, 0.01, 50.0])
962,C,C3,i2,0.5
963,C,C2,i3,3.0
964,C,C1,i1,5.5
965,C,C2,i1,3.0
966,C,C2,i3,3.0
967,C,C1,i2,5.5
968,C,C2,i3,3.0
969,C,C1,i2,5.5
970,C,C1,i2,5.5
971,C,C1,i1,5.5
972,C,C1,i1,5.5
973,C,C3,i2,0.5
974,C,C2,i3,3.0
975,C,C1,i1,5.5
976,C,C2,i1,3.0
977,C,C2,i3,3.0
978,C,C1,i2,5.5
979,C,C2,i3,3.0
980,C,C1,i2,5.5
981,C,C1,i2,5.5
982,C,C1,i1,5.5
983,C,C1,i1,5.5
984,C,C3,i2,0.5
985,C,C2,i3,3.0
986,C,C1,i1,5.5
987,C,C2,i1,3.0
988,C,C2,i3,3.0
989,C,C1,i2,5.5
990,C,C2,i3,3.0
991,C,C1,i2,5.5
992,C,C1,i2,5.5
993,C,C1,i1,5.5
994,C,C1,i1,5.5
995,C,C3,i2,0.5
996,C,C2,i3,3.0
997,C,C1,i1,5.5
998,C,C2,i1,3.0
999,C,C2,i3,3.0
1000,C,C1,i2,5.5
