State(1000, [3.0, 8.0, 8.0], Array{Float64}[[0.0, 0.5, 0.5], [0.5, 0.5, 0.0], [0.5, 0.5, 0.0]], [0.0, 0.01, 50.0])
222,C,C3,i2,5.5
223,C,C3,i1,5.5
224,C,C1,i3,8.0
225,C,C1,i3,8.0
226,C,C1,i3,8.0
227,C,C3,i2,5.5
228,C,C3,i1,5.5
229,C,C1,i3,8.0
230,C,C1,i3,8.0
231,C,C1,i3,8.0
232,C,C3,i2,5.5
233,C,C3,i1,5.5
234,C,C1,i3,8.0
235,C,C1,i3,8.0
236,C,C1,i3,8.0
237,C,C3,i2,5.5
238,C,C3,i1,5.5
239,C,C1,i3,8.0
240,C,C1,i3,8.0
241,C,C1,i3,8.0
242,C,C3,i2,5.5
243,C,C3,i1,5.5
244,C,C1,i3,8.0
245,C,C1,i3,8.0
246,C,C1,i3,8.0
247,C,C3,i2,5.5
248,C,C3,i1,5.5
249,C,C1,i3,8.0
250,C,C1,i3,8.0
251,C,C1,i3,8.0
252,C,C3,i2,5.5
253,C,C3,i1,5.5
254,C,C1,i3,8.0
255,C,C1,i3,8.0
256,C,C1,i3,8.0
257,C,C3,i2,5.5
258,C,C3,i1,5.5
259,C,C1,i3,8.0
260,C,C1,i3,8.0
261,C,C1,i3,8.0
262,C,C3,i2,5.5
263,C,C3,i1,5.5
264,C,C1,i3,8.0
265,C,C1,i3,8.0
266,C,C1,i3,8.0
267,C,C3,i2,5.5
268,C,C3,i1,5.5
269,C,C1,i3,8.0
270,C,C1,i3,8.0
271,C,C1,i3,8.0
272,C,C3,i2,5.5
273,C,C3,i1,5.5
274,C,C1,i3,8.0
275,C,C1,i3,8.0
276,C,C1,i3,8.0
277,C,C3,i2,5.5
278,C,C3,i1,5.5
279,C,C1,i3,8.0
280,C,C1,i3,8.0
281,C,C1,i3,8.0
282,C,C3,i2,5.5
283,C,C3,i1,5.5
284,C,C1,i3,8.0
285,C,C1,i3,8.0
286,C,C1,i3,8.0
287,C,C3,i2,5.5
288,C,C3,i1,5.5
289,C,C1,i3,8.0
290,C,C1,i3,8.0
291,C,C1,i3,8.0
292,C,C3,i2,5.5
293,C,C3,i1,5.5
294,C,C1,i3,8.0
295,C,C1,i3,8.0
296,C,C1,i3,8.0
297,C,C3,i2,5.5
298,C,C3,i1,5.5
299,C,C1,i3,8.0
300,C,C1,i3,8.0
301,C,C1,i3,8.0
302,C,C3,i2,5.5
303,C,C3,i1,5.5
304,C,C1,i3,8.0
305,C,C1,i3,8.0
306,C,C1,i3,8.0
307,C,C3,i2,5.5
308,C,C3,i1,5.5
309,C,C1,i3,8.0
310,C,C1,i3,8.0
311,C,C1,i3,8.0
312,C,C3,i2,5.5
313,C,C3,i1,5.5
314,C,C1,i3,8.0
315,C,C1,i3,8.0
316,C,C1,i3,8.0
317,C,C3,i2,5.5
318,C,C3,i1,5.5
319,C,C1,i3,8.0
320,C,C1,i3,8.0
321,C,C1,i3,8.0
322,C,C3,i2,5.5
323,C,C3,i1,5.5
324,C,C1,i3,8.0
325,C,C1,i3,8.0
326,C,C1,i3,8.0
327,C,C3,i2,5.5
328,C,C3,i1,5.5
329,C,C1,i3,8.0
330,C,C1,i3,8.0
331,C,C1,i3,8.0
332,C,C3,i2,5.5
333,C,C3,i1,5.5
334,C,C1,i3,8.0
335,C,C1,i3,8.0
336,C,C1,i3,8.0
337,C,C3,i2,5.5
338,C,C3,i1,5.5
339,C,C1,i3,8.0
340,C,C1,i3,8.0
341,C,C1,i3,8.0
342,C,C3,i2,5.5
343,C,C3,i1,5.5
344,C,C1,i3,8.0
345,C,C1,i3,8.0
346,C,C1,i3,8.0
347,C,C3,i2,5.5
348,C,C3,i1,5.5
349,C,C1,i3,8.0
350,C,C1,i3,8.0
351,C,C1,i3,8.0
352,C,C3,i2,5.5
353,C,C3,i1,5.5
354,C,C1,i3,8.0
355,C,C1,i3,8.0
356,C,C1,i3,8.0
357,C,C3,i2,5.5
358,C,C3,i1,5.5
359,C,C1,i3,8.0
360,C,C1,i3,8.0
361,C,C1,i3,8.0
362,C,C3,i2,5.5
363,C,C3,i1,5.5
364,C,C1,i3,8.0
365,C,C1,i3,8.0
366,C,C1,i3,8.0
367,C,C3,i2,5.5
368,C,C3,i1,5.5
369,C,C1,i3,8.0
370,C,C1,i3,8.0
371,C,C1,i3,8.0
372,C,C3,i2,5.5
373,C,C3,i1,5.5
374,C,C1,i3,8.0
375,C,C1,i3,8.0
376,C,C1,i3,8.0
377,C,C3,i2,5.5
378,C,C3,i1,5.5
379,C,C1,i3,8.0
380,C,C1,i3,8.0
381,C,C1,i3,8.0
382,C,C3,i2,5.5
383,C,C3,i1,5.5
384,C,C1,i3,8.0
385,C,C1,i3,8.0
386,C,C1,i3,8.0
387,C,C3,i2,5.5
388,C,C3,i1,5.5
389,C,C1,i3,8.0
390,C,C1,i3,8.0
391,C,C1,i3,8.0
392,C,C3,i2,5.5
393,C,C3,i1,5.5
394,C,C1,i3,8.0
395,C,C1,i3,8.0
396,C,C1,i3,8.0
397,C,C3,i2,5.5
398,C,C3,i1,5.5
399,C,C1,i3,8.0
400,C,C1,i3,8.0
401,C,C1,i3,8.0
402,C,C3,i2,5.5
403,C,C3,i1,5.5
404,C,C1,i3,8.0
405,C,C1,i3,8.0
406,C,C1,i3,8.0
407,C,C3,i2,5.5
408,C,C3,i1,5.5
409,C,C1,i3,8.0
410,C,C1,i3,8.0
411,C,C1,i3,8.0
412,C,C3,i2,5.5
413,C,C3,i1,5.5
414,C,C1,i3,8.0
415,C,C1,i3,8.0
416,C,C1,i3,8.0
417,C,C3,i2,5.5
418,C,C3,i1,5.5
419,C,C1,i3,8.0
420,C,C1,i3,8.0
421,C,C1,i3,8.0
422,C,C3,i2,5.5
423,C,C3,i1,5.5
424,C,C1,i3,8.0
425,C,C1,i3,8.0
426,C,C1,i3,8.0
427,C,C3,i2,5.5
428,C,C3,i1,5.5
429,C,C1,i3,8.0
430,C,C1,i3,8.0
431,C,C1,i3,8.0
432,C,C3,i2,5.5
433,C,C3,i1,5.5
434,C,C1,i3,8.0
435,C,C1,i3,8.0
436,C,C1,i3,8.0
437,C,C3,i2,5.5
438,C,C3,i1,5.5
439,C,C1,i3,8.0
440,C,C1,i3,8.0
441,C,C1,i3,8.0
442,C,C3,i2,5.5
443,C,C3,i1,5.5
444,C,C1,i3,8.0
445,C,C1,i3,8.0
446,C,C1,i3,8.0
447,C,C3,i2,5.5
448,C,C3,i1,5.5
449,C,C1,i3,8.0
450,C,C1,i3,8.0
451,C,C1,i3,8.0
452,C,C3,i2,5.5
453,C,C3,i1,5.5
454,C,C1,i3,8.0
455,C,C1,i3,8.0
456,C,C1,i3,8.0
457,C,C3,i2,5.5
458,C,C3,i1,5.5
